State;Nixon;Humphrey;Wallace
South Carolina;0,381;0,296;0,323
Arkansas;0,308;0,304;0,389
Tennessee;0,378;0,281;0,34
North Carolina;0,395;0,292;0,313
Florida;0,405;0,309;0,285
Georgia;0,304;0,268;0,428
Virginia;0,436;0,327;0,238
Texas;0,399;0,411;0,19
Louisiana;0,235;0,282;0,483
Kentucky;0,439;0,378;0,183
Oklahoma;0,477;0,32;0,203
Maryland;0,419;0,436;0,145
United States;0,436;0,429;0,136
Delaware;0,451;0,416;0,133
Alaska;0,453;0,426;0,121
Ohio;0,452;0,43;0,118
Missouri;0,449;0,437;0,114
Nevada;0,475;0,393;0,132
New Jersey;0,465;0,443;0,092
Michigan;0,416;0,483;0,101
Illinois;0,472;0,443;0,085
Indiana;0,504;0,381;0,115
Pennsylvania;0,442;0,478;0,08
Washington;0,452;0,473;0,075
West Virginia;0,408;0,496;0,096
Wisconsin;0,48;0,444;0,076
California;0,482;0,451;0,068
Colorado;0,508;0,416;0,076
Connecticut;0,444;0,495;0,061
Montana;0,509;0,418;0,073
Oregon;0,5;0,439;0,061
New Mexico;0,521;0,4;0,079
Idaho;0,568;0,307;0,125
Kansas;0,55;0,348;0,102
New York;0,446;0,501;0,053
Arizona;0,551;0,352;0,096
Wyoming;0,558;0,355;0,087
Iowa;0,533;0,41;0,057
New Hampshire;0,522;0,44;0,038
South Dakota;0,533;0,42;0,048
Minnesota;0,415;0,541;0,043
Vermont;0,53;0,438;0,032
Mississippi;0,135;0,23;0,635
Utah;0,565;0,371;0,064
North Dakota;0,565;0,383;0,058
Nebraska;0,598;0,318;0,084
Alabama;0,142;0,19;0,668
Maine;0,431;0,553;0,016
Hawaii;0,387;0,598;0,015
Massachusetts;0,33;0,632;0,037
Rhode Island;0,318;0,641;0,041
Dist. of Col.;0,182;0,818;
